customer_id,free_trial_group,converted
20267750,2,0
17078059,2,0
14480365,2,0
22620130,2,0
12409547,2,0
17248383,2,0
21338812,2,0
21658792,2,0
204356,2,0
7554394,2,0
14299498,2,0
22647852,2,0
12488360,2,0
899944,2,0
2103885,2,0
1749894,2,0
14211968,2,0
7007830,2,0
16272739,2,0
10191349,2,0
7846905,2,0
7749526,2,0
12551285,2,0
1873640,2,0
23418998,2,0
22277007,2,0
11985164,2,0
21189507,2,0
10349685,2,0
7190360,2,0
20606638,2,0
19823319,2,0
10529156,2,0
5794038,2,0
14868739,2,0
11463032,2,0
21780782,2,0
903264,2,0
11864587,2,0
465963,2,0
19086036,2,0
1007575,2,0
16534402,2,0
9114491,2,0
19392794,2,0
2106304,2,0
5703844,2,0
7151260,2,0
10590950,2,0
22452161,2,0
591984,2,0
20461425,2,0
11668372,2,0
8498533,2,0
18188137,2,0
6957279,2,0
8418709,2,0
20321204,2,0
6312634,2,0
13551012,2,0
6395148,2,0
7807423,2,0
22459717,2,0
21389820,2,0
14753532,2,0
533952,2,0
22242818,2,0
8469183,2,0
16029459,2,0
5841907,2,0
604589,2,0
16456924,2,0
8079813,2,0
5565966,2,0
14803501,2,0
23574239,2,0
10946721,2,0
274882,2,0
1266708,2,0
24032696,2,0
12482570,2,0
16949752,2,0
12139666,2,0
20962095,2,0
1512874,2,0
1966988,2,0
7681955,2,0
6239,2,0
1015706,2,0
18204661,2,0
19006208,2,0
19045169,2,0
9171988,2,0
11718638,2,0
24123104,2,0
1558130,2,0
12217422,2,0
5963374,2,0
11390014,2,0
11780533,2,0
1006561,2,0
6429426,2,0
8239249,2,0
17835732,2,0
1991049,2,0
6114814,2,0
12291334,2,0
5658907,2,0
1256597,2,0
12467586,2,0
2202214,2,0
1919135,2,0
2073830,2,0
19455095,2,0
16300206,2,0
11166,2,0
13457796,2,0
2118427,2,0
18095724,2,0
2210704,2,0
8179621,2,0
13080550,2,0
11873820,2,0
17216722,2,0
18028327,2,0
7524462,2,0
6662595,2,0
14041164,2,0
13281852,2,0
23383415,2,0
20689119,2,0
17137471,2,0
8054756,2,0
16674818,2,0
5467624,2,0
21824673,2,0
137081,2,0
5625530,2,0
489467,2,0
1511439,2,0
19782215,2,0
20495640,2,0
7886337,2,0
8260923,2,0
9752878,2,0
19283648,2,0
38284,2,0
757445,2,0
8600831,2,0
14115076,2,0
816832,2,0
9283047,2,0
1981018,2,0
133337,2,0
10772919,2,0
200547,2,0
7979991,2,0
321812,2,0
13673629,2,0
11936123,2,0
14324226,2,0
7258472,2,0
7173521,2,0
8165552,2,0
6616386,2,0
20274686,2,0
24595454,2,0
7260328,2,0
1912362,2,0
16256086,2,0
12464135,2,0
11182852,2,0
16969318,2,0
12710307,2,0
13528402,2,0
359628,2,0
18821351,2,0
919896,2,0
11931849,2,0
13185707,2,0
14745683,2,0
11294668,2,0
177782,2,0
16543386,2,0
9141075,2,0
1849264,2,0
6719254,2,0
7854270,2,0
5521133,2,0
8280549,2,0
20088834,2,0
19828122,2,0
492102,2,0
1873463,2,0
73034,2,0
5569201,2,0
21880067,2,0
22989072,2,0
2113856,2,0
113590,2,0
7156861,2,0
6759996,2,0
1483253,2,0
1691659,2,0
22311453,2,0
21798039,2,0
1360900,2,0
5350276,2,0
1951528,2,0
19380098,2,0
1485773,2,0
1678196,2,0
22276231,2,0
11051725,2,0
16360208,2,0
20517281,2,0
1516987,2,0
736907,2,0
13470610,2,0
7859547,2,0
23084886,2,0
12571189,2,0
12261450,2,0
845376,2,0
17045554,2,0
19652671,2,0
7320041,2,0
17013459,2,0
1316808,2,0
11352571,2,0
11384064,2,0
6950207,2,0
7869859,2,0
6355390,2,0
13922939,2,0
14005880,2,0
21531683,2,0
1122640,2,0
13804371,2,0
18741445,2,0
23374663,2,0
24039351,2,0
9139870,2,0
8103302,2,0
10159535,2,0
21649148,2,0
8741122,2,0
